timestamp,users,rps,failures_per_sec,avg_response_time,p95_response_time
2024-10-14T13:18:47Z,4,1.0,0,249.65,370.0
2024-10-14T13:18:52Z,9,1.5,0,213.16,390.0
2024-10-14T13:18:57Z,10,2.1,0,148.69,340.0
2024-10-14T13:19:02Z,10,3.0,0.5,118.76,150.0
2024-10-14T13:19:07Z,10,3.4,2.2,103.39,73
2024-10-14T13:19:12Z,10,3.2,3.2,92.09,73
2024-10-14T13:19:17Z,10,2.9,2.9,85.03,64
2024-10-14T13:19:22Z,10,2.9,2.9,80.3,65
2024-10-14T13:19:27Z,10,3.4,3.4,76.02,66
2024-10-14T13:19:32Z,10,3.5,3.5,73.23,60
2024-10-14T13:19:37Z,10,3.3,3.3,70.79,66
2024-10-14T13:19:42Z,10,3.4,3.4,69.29,66
2024-10-14T13:21:12Z,0,3.3,3.3,68.45,0
2024-10-14T13:21:14Z,0,3.3,3.3,68.45,0
